"","Site","mean","sd","n","se","Timepoint","Sitenames","Tukeylabels"
"1","1",225.631578947368,145.295182502654,19,33.3330009217036,"T1","Desert","b"
"2","4",110.473684210526,47.5387192145666,19,10.9061301558764,"T1","Scrubland","a"
"3","2",251.578947368421,65.4992076198667,19,15.026548784052,"T1","Grassland","b"
"4","3",211.052631578947,54.8051839439893,19,12.5731714944214,"T1","Pine-Oak","b"
"5","5",115.526315789474,47.4427941151266,19,10.8841234287917,"T1","Subalpine","a"
"6","1",156.75,92.969646999211,20,20.7886450534395,"T2","Desert","a"
"7","4",410.3,103.714232896277,20,23.191207499032,"T2","Scrubland","b"
"8","2",461.05,149.200844854388,20,33.3623231394811,"T2","Grassland","b"
"9","3",434.2,101.263907426923,20,22.6432980673846,"T2","Pine-Oak","b"
"10","5",246.85,100.018564066351,20,22.3648308264278,"T2","Subalpine","a"
"11","1",179.35,62.2442345670835,20,13.9182339699441,"T3","Desert","a"
"12","4",268.1,69.564736983467,20,15.5551480731926,"T3","Scrubland","b"
"13","2",569.315789473684,90.3032253832602,19,20.7169807221794,"T3","Grassland","d"
"14","3",455.6,61.9374897100209,20,13.8496437347301,"T3","Pine-Oak","c"
"15","5",204.85,77.5182660986904,20,17.3336112494589,"T3","Subalpine","a,b"
